x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,0.014084077682118655,0
0,true,1,0,0,0,0,-9251.124465796056,0,0.014084077682118655,0
0.1,,,7.608314,0.3804157,3.5519067647202942e-12,8.879766911800738e-14,-9243.516151796057,-924.7320308796056,0.0140840647291345,0.0014084073364161278
0.2,,,15.216628000000002,1.5216628,2.841525411776235e-11,1.4207627058881178e-12,-9235.907837796056,-1848.7032303592111,0.01408402588438966,0.002816812082768211
0.3,,,22.824942,3.4237412999999997,9.590148264744792e-11,7.192611198558594e-12,-9228.299523796057,-2771.9135984388167,0.014083961169195578,0.004225211650945752
0.4,,,30.433256000000004,6.086651200000001,2.2732203294209883e-10,2.2732203294209882e-11,-9220.691209796056,-3694.3631351184226,0.014083870604863692,0.0056336034549694
0.5,,,38.04156999999999,9.5103925,4.439883455900368e-10,5.549854319875459e-11,-9213.082895796057,-4616.051840398028,0.014083754212705446,0.007041984910990945
0.6,,,45.64988399999999,13.694965199999997,7.672118611795834e-10,1.1508177917693752e-10,-9205.474581796056,-5536.979714277633,0.014083612014032276,0.008450353437293324
0.7000000000000001,,,53.258198,18.6403693,1.218304020299061e-9,2.132032035523357e-10,-9197.866267796056,-6457.14675675724,0.014083444030155625,0.009858706454290617
0.8,,,60.866512,24.346604799999998,1.8185762635367906e-9,3.637152527073581e-10,-9190.257953796056,-7376.552967836845,0.014083250282386934,0.011267041384528049
0.8999999999999999,,,68.474826,30.81367169999999,2.589340031481093e-9,5.826015070832459e-10,-9182.649639796056,-8295.19834751645,0.014083030792037645,0.012675355652681984
1,,,76.08314,38.04157,3.5519067647202934e-9,8.879766911800733e-10,-9175.041325796055,-9213.082895796057,0.014082785580419194,0.014083646685559937
1.1,,,83.69145400000001,46.0302997,4.727587903842712e-9,1.3000866735567458e-9,-9167.433011796056,-10130.206612675662,0.014082514668843027,0.015491911912100566
1.2,,,91.29976799999999,54.77986079999999,6.137694889436666e-9,1.8413084668309997e-9,-9159.824697796055,-11046.569498155268,0.01408221807862058,0.016900148763373667
1.2999999999999998,,,98.90808199999996,64.29025329999997,7.803539162090482e-9,2.536150227679406e-9,-9152.216383796056,-11962.171552234871,0.014081895831063295,0.01830835467258018
1.4000000000000001,,,106.516396,74.56147720000001,9.746432162392487e-9,3.4112512568373713e-9,-9144.608069796055,-12877.01277491448,0.014081547947482616,0.019716527075052212
1.5,,,114.12470999999998,85.5935325,1.198768533093099e-8,4.495381999099122e-9,-9136.999755796056,-13791.093166194085,0.014081174449189977,0.021124663408252982
1.6,,,121.73302399999999,97.3864192,1.4548610108294324e-8,5.8194440433177306e-9,-9129.391441796057,-14704.41272607369,0.014080775357496826,0.02253276111177686
1.7,,,129.34133799999995,109.94013729999999,1.74505179350708e-8,7.4164701224050895e-9,-9121.783127796056,-15616.971454553295,0.014080350693714598,0.023940817627349373
1.7999999999999998,,,136.94965199999993,123.25468679999997,2.0714720251848747e-8,9.321624113331935e-9,-9114.174813796057,-16528.7693516329,0.014079900479154734,0.02534883039882719
1.9000000000000001,,,144.55796599999996,137.3300677,2.43625284992165e-8,1.1572201037127839e-8,-9106.566499796056,-17439.806417312506,0.01407942473512868,0.02675679687219812
2,,,152.16627999999994,152.16627999999997,2.8415254117762347e-8,1.4207627058881175e-8,-9098.958185796057,-18350.08265159211,0.01407892348294787,0.028164714495581097
2.0999999999999996,,,159.7745939999999,167.76332369999992,3.289420854807462e-8,1.7269459487739175e-8,-9091.349871796056,-19259.598054471713,0.014078396743923747,0.02957258071922624
2.2,,,167.3829079999999,184.12119879999997,3.7820703230741694e-8,2.0801386776907936e-8,-9083.741557796056,-20168.352625951324,0.014077844539367753,0.030980392995514788
2.3000000000000003,,,174.99122199999988,201.23990529999998,4.3216049606351825e-8,2.4849228523652305e-8,-9076.133243796055,-21076.34636603093,0.014077266890591328,0.03238814877895911
2.4,,,182.59953599999983,219.11944319999992,4.910155911549333e-8,2.9460935469296e-8,-9068.524929796056,-21983.579274710533,0.01407666381890591,0.03379584552620275
2.5,,,190.2078499999998,237.75981249999992,5.549854319875458e-8,3.468658949922162e-8,-9060.916615796055,-22890.05135199014,0.014076035345622942,0.035203480696020376
2.5999999999999996,,,197.81616399999976,257.16101319999984,6.242831329672385e-8,4.0578403642870505e-8,-9053.308301796056,-23795.762597869743,0.014075381492053864,0.0366110517493178
2.7,,,205.42447799999977,277.32304529999993,6.991218084998954e-8,4.719072207374296e-8,-9045.699987796057,-24700.71301234935,0.014074702279510118,0.038018556149132
2.8000000000000003,,,213.03279199999974,298.2459087999999,7.79714572991399e-8,5.458002010939795e-8,-9038.091673796056,-25604.90259542896,0.014073997729303143,0.03942599136063105
2.9,,,220.6411059999997,319.92960369999986,8.662745408476321e-8,6.280490421145335e-8,-9030.483359796057,-26508.331347108564,0.01407326786274438,0.04083335485111423
3,,,228.24941999999967,342.37412999999987,9.59014826474479e-8,7.192611198558595e-8,-9022.875045796056,-27410.999267388168,0.01407251270114527,0.042240644090011915
3.0999999999999996,,,235.85773399999962,365.5794876999997,1.058148544277822e-7,8.200651218153122e-8,-9015.266731796057,-28312.90635626777,0.014071732265817252,0.043647856548885644
3.2,,,243.46604799999963,389.5456767999998,1.1638888086635455e-7,9.311110469308369e-8,-9007.658417796056,-29214.05261374738,0.014070926578071768,0.04505498970142813
3.3000000000000003,,,251.0743619999996,414.2726972999998,1.2764487340375318e-7,1.0530702055809641e-7,-9000.050103796057,-30114.43803982699,0.01407009565922026,0.046462041023463144
3.4,,,258.6826759999996,439.7605491999996,1.3960414348056634e-7,1.1866352195848143e-7,-8992.441789796056,-31014.06263450659,0.014069239530574163,0.04786900799294568
3.5,,,266.2909899999997,466.00923249999965,1.5228800253738253e-7,1.3325200222020976e-7,-8984.833475796057,-31912.926397786196,0.014068358213444924,0.04927588808996187
3.5999999999999996,,,273.89930399999974,493.0187471999995,1.6571776201478992e-7,1.4914598581331095e-7,-8977.225161796056,-32811.029329665806,0.014067451729143983,0.05068267879672894
3.7,,,281.5076179999998,520.7890932999996,1.79914733353377e-7,1.6642112835187378e-7,-8969.616847796056,-33708.37143014541,0.014066520098982776,0.05208937759759533
3.8000000000000003,,,289.1159319999999,549.3202707999997,1.9490022799373194e-7,1.851552165940454e-7,-8962.008533796055,-34604.95269922501,0.014065563344272745,0.05349598197904055
3.9,,,296.72424599999994,578.6122796999996,2.1069555737644302e-7,2.0542816844203198e-7,-8954.400219796056,-35500.773136904616,0.014064581486325336,0.05490248942967529
4,,,304.33256,608.6651199999995,2.273220329420987e-7,2.2732203294209878e-7,-8946.791905796055,-36395.832743184226,0.014063574546451983,0.05630889744024141
4.1,,,311.94087399999995,639.4787916999994,2.448009661312872e-7,2.509209902845694e-7,-8939.183591796056,-37290.13151806383,0.014062542545964129,0.05771520350361187
4.199999999999999,,,319.5491879999999,671.0532947999993,2.631536683845969e-7,2.7631135180382674e-7,-8931.575277796057,-38183.66946154343,0.014061485506173215,0.05912140511479079
4.3,,,327.1575019999999,703.3886292999995,2.824014511426162e-7,3.0358155997831253e-7,-8923.966963796056,-39076.44657362304,0.01406040344839068,0.060527499770913464
4.4,,,334.7658159999999,736.4847951999997,3.025656258459334e-7,3.328221884305269e-7,-8916.358649796057,-39968.46285430265,0.014059296393927967,0.06193348497124626
4.5,,,342.37412999999987,770.3417924999994,3.236675039351366e-7,3.641259419270288e-7,-8908.750335796056,-40859.71830358225,0.014058164364096517,0.06333935821718677
4.6000000000000005,,,349.9824439999999,804.9596211999997,3.4572839685081444e-7,3.975876563784368e-7,-8901.142021796057,-41750.21292146186,0.014057007380207766,0.06474511701226367
4.7,,,357.5907579999998,840.3382812999995,3.6876961603355486e-7,4.333042988394272e-7,-8893.533707796056,-42639.94670794147,0.014055825463573158,0.0661507588621368
4.8,,,365.1990719999998,876.4777727999993,3.928124729239464e-7,4.713749675087359e-7,-8885.925393796057,-43528.91966302107,0.014054618635504135,0.06755628127459713
4.9,,,372.8073859999998,913.3780956999994,4.178782789625776e-7,5.119008917291579e-7,-8878.317079796056,-44417.13178670068,0.014053386917312134,0.06896168175956685
5,,,380.41569999999973,951.0392499999994,4.4398834559003635e-7,5.549854319875457e-7,-8870.708765796056,-45304.58307898028,0.014052130330308598,0.07036695782909919
5.1,,,388.0240139999997,989.4612356999992,4.711639842469112e-7,6.00734079914812e-7,-8863.100451796055,-46191.27353985988,0.014050848895804966,0.07177210699737856
5.199999999999999,,,395.63232799999963,1028.644052799999,4.994265063737905e-7,6.492544582859278e-7,-8855.492137796056,-47077.20316933948,0.014049542635112681,0.07317712678072054
5.3,,,403.24064199999964,1068.587701299999,5.287972234112628e-7,7.006563210199234e-7,-8847.883823796057,-47962.371967419094,0.014048211569543181,0.07458201469757186
5.4,,,410.84895599999965,1109.2921811999993,5.59297446799916e-7,7.550515531798869e-7,-8840.275509796056,-48846.779934098704,0.014046855720407907,0.07598676826851035
5.5,,,418.4572699999996,1150.757492499999,5.909484879803384e-7,8.125541709729656e-7,-8832.667195796057,-49730.42706937831,0.014045475109018303,0.07739138501624497
5.6000000000000005,,,426.0655839999996,1192.9836351999993,6.237716583931189e-7,8.732803217503667e-7,-8825.058881796056,-50613.31337325792,0.014044069756685804,0.0787958624656159
5.7,,,433.67389799999955,1235.9706092999993,6.57788269478845e-7,9.373482840073544e-7,-8817.450567796057,-51495.438845737524,0.014042639684721855,0.08020019814359441
5.8,,,441.2822119999995,1279.7184147999992,6.930196326781054e-7,0.000001004878467383253,-8809.842253796056,-52376.80348681712,0.014041184914437893,0.08160438957928293
5.9,,,448.8905259999995,1324.2270516999993,7.294870594314889e-7,0.0000010759934126614463,-8802.233939796057,-53257.407296496734,0.014039705467145362,0.08300843430391504
6,,,456.49883999999946,1369.4965199999992,7.672118611795829e-7,0.0000011508177917693745,-8794.625625796056,-54137.250274776336,0.014038201364155702,0.08441232985085544
6.1,,,464.1071539999994,1415.5268196999991,8.062153493629764e-7,0.0000012294784077785389,-8787.017311796057,-55016.33242165594,0.014036672626780352,0.08581607375559998
6.199999999999999,,,471.71546799999936,1462.317950799999,8.465188354222574e-7,0.0000013121041949044987,-8779.408997796058,-55894.653737135544,0.014035119276330754,0.08721966355577568
6.300000000000001,,,479.3237819999994,1509.8699132999996,8.88143630798015e-7,0.000001398826218506874,-8771.800683796057,-56772.21422121516,0.014033541334118346,0.08862309679114073
6.4,,,486.9320959999994,1558.1827071999994,9.311110469308363e-7,0.0000014897776750893382,-8764.192369796057,-57649.01387389476,0.014031938821454574,0.09002637100358432
6.5,,,494.5404099999993,1607.2563324999992,9.7544239526131e-7,0.000001585093892299629,-8756.584055796056,-58525.05269517436,0.014030311759650872,0.09142948373712695
6.6000000000000005,,,502.14872399999933,1657.0907891999993,0.0000010211589872300252,0.0000016849123289295418,-8748.975741796057,-59400.33068505398,0.014028660170018685,0.09283243253792023
6.7,,,509.7570379999993,1707.6860772999992,0.000001068282134277569,0.0000017893725749149284,-8741.367427796056,-60274.84784353358,0.014026984073869452,0.0942352149542468
6.8,,,517.3653519999993,1759.042196799999,0.0000011168331478445307,0.000001898616351335702,-8733.759113796057,-61148.60417061318,0.014025283492514614,0.09563782853652057
6.8999999999999995,,,524.9736659999994,1811.1591476999986,0.000001166833339371498,0.000002012787510415834,-8726.150799796056,-62021.59966629279,0.014023558447265612,0.09704027083728657
7,,,532.5819799999995,1864.0369299999988,0.00000121830402029906,0.0000021320320355233553,-8718.542485796057,-62893.83433057239,0.014021808959433885,0.09844253941122096
7.1,,,540.1902939999995,1917.6755436999986,0.000001271266502067804,0.0000022564980411703526,-8710.934171796056,-63765.308163452006,0.014020035050330875,0.09984463181513098
7.199999999999999,,,547.7986079999996,1972.0749887999982,0.000001325742096118319,0.0000023863357730129744,-8703.325857796057,-64636.021164931604,0.014018236741268023,0.10124654560795512
7.300000000000001,,,555.4069219999997,2027.235265299999,0.0000013817521138911942,0.0000025216976078514297,-8695.717543796056,-65505.97333501122,0.014016414053556768,0.10264827835076298
7.4,,,563.0152359999997,2083.156373199999,0.0000014393178668270158,0.0000026627380536299793,-8688.109229796057,-66375.16467369083,0.014014567008508552,0.10404982760675525
7.5,,,570.6235499999998,2139.8383124999987,0.000001498460666366373,0.0000028096137494369495,-8680.500915796056,-67243.59518097043,0.014012695627434815,0.10545119094126382
7.6000000000000005,,,578.2318639999999,2197.281083199999,0.000001559201823949855,0.000002962483465504725,-8672.892601796057,-68111.26485685003,0.014010799931646997,0.10685236592175175
7.7,,,585.8401779999999,2255.484685299999,0.000001621562651018049,0.0000031215081032097444,-8665.284287796056,-68978.17370132962,0.014008879942456538,0.10825335011781315
7.8,,,593.448492,2314.449118799999,0.0000016855644590115437,0.00000328685069507251,-8657.675973796056,-69844.32171440923,0.014006935681174882,0.10965414110117334
7.8999999999999995,,,601.056806,2374.1743836999985,0.0000017512285593709276,0.0000034586764047575816,-8650.067659796056,-70709.70889608884,0.014004967169113466,0.11105473644568879
8,,,608.6651200000001,2434.660479999999,0.0000018185762635367894,0.0000036371525270735787,-8642.459345796056,-71574.33524636844,0.014002974427583734,0.1124551337273471
8.1,,,616.2734340000001,2495.9074076999987,0.0000018876288829497163,0.000003822448487973175,-8634.851031796055,-72438.20076524805,0.014000957477897123,0.11385533052426697
