x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,0.017677081208903662,0
0,true,1,0,0,0,0,-11821.449289502847,0,0.017677081208903662,0
0.1,,,10.277325863636364,0.5138729515625001,4.798016059366952e-12,1.1995076413489095e-13,-11811.17196363921,-1181.6310559987223,0.017677064657332278,0.001767707569131337
0.2,,,20.553799454545455,2.0554358758522726,3.8383357583125464e-11,1.9191832141008842e-12,-11800.895490048302,-2362.2344220247173,0.01767701502180942,0.0035354118286680756
0.3,,,30.82942077272727,4.62460354559659,1.2954117413136418e-10,9.715707268323765e-12,-11790.61986873012,-3541.8101833052574,0.017676932331120228,0.005303109471654345
0.4,,,41.10418981818182,8.221290733522727,3.070542279863082e-10,3.070592843734501e-11,-11780.345099684666,-4720.358425067617,0.01767681661404748,0.007070797194012672
0.5,,,51.3781065909091,12.845412212357953,5.997028941523186e-10,7.49644090960354e-11,-11770.071182911937,-5897.879232539066,0.01767666789937154,0.008838471694543737
0.6,,,61.651171090909095,18.496882754829542,1.0362651603558931e-9,1.5544362975580865e-10,-11759.798118411938,-7074.372690946879,0.017676486215870396,0.010606129674926142
0.7000000000000001,,,71.92338331818182,25.175617133664776,1.6455166270456665e-9,2.8797375033683523e-10,-11749.525906184665,-8249.838885518328,0.017676271592319652,0.012373767839716167
0.8,,,82.19474327272728,32.881530121590906,2.4562305073924073e-9,4.912623714402553e-10,-11739.25454623012,-9424.277901480687,0.017676024057492523,0.01414138289634753
0.8999999999999999,,,92.46525095454545,41.614536491335215,3.497177627289021e-9,7.868942956203931e-10,-11728.984038548302,-10597.689824061226,0.017675743640159832,0.015908971555131154
1,,,102.73490636363638,51.374551015624995,4.797126425350555e-9,1.1993312886569714e-9,-11718.714383139211,-11770.074738487223,0.017675430369090018,0.017676530529254927
1.1,,,113.00370950000003,62.16148846718751,6.3848429529141856e-9,1.7559118408273226e-9,-11708.445580002846,-12941.432729985945,0.01767508427304913,0.01944405653478346
1.2,,,123.27166036363639,73.97526361874999,8.289090874039224e-9,2.4868509281786026e-9,-11698.17762913921,-14111.763883784666,0.017674705380800838,0.02121154629065784
1.2999999999999998,,,133.53875895454547,86.81579124303974,1.0538631465507125e-8,3.4252397738000087e-9,-11687.9105305483,-15281.06828511066,0.017674293721106408,0.022978996518695418
1.4000000000000001,,,143.80500527272733,100.6829861127841,1.316222361682149e-8,4.607045609094994e-9,-11677.64428423012,-16449.3460191912,0.01767384932272474,0.024746403943589554
1.5,,,154.07039931818187,115.57676300071024,1.6188623830208017e-8,6.071111435053462e-9,-11667.378890184666,-17616.59717125356,0.017673372214412335,0.02651376529290935
1.6,,,164.33494109090918,131.4970366795455,1.964658622061459e-8,7.859155783524013e-9,-11657.114348411938,-18782.82182652501,0.017672862424923302,0.028281077297099468
1.7,,,174.59863059090918,148.44372192201706,2.3564862515711184e-8,1.0015772478486126e-8,-11646.850658911937,-19948.020070232822,0.017672319983009374,0.030048336689479847
1.7999999999999998,,,184.8614678181819,166.41673350085227,2.7972202055889946e-8,1.2588430397322398e-8,-11636.587821684665,-21112.19198760427,0.01767174491741989,0.03181554020624549
1.9000000000000001,,,195.12345277272738,185.4159861887785,3.2897351794265166e-8,1.5627473232090753e-8,-11626.32583673012,-22275.337663866634,0.017671137256901802,0.03358268458646621
2,,,205.38458545454554,205.44139475852282,3.8369056296673206e-8,1.918611925079661e-8,-11616.064704048302,-23437.45718424717,0.017670497030199676,0.03534976657208638
2.0999999999999996,,,215.64486586363643,226.4928739828125,4.441605774167262e-8,2.332046105866517e-8,-11605.80442363921,-24598.550633973162,0.017669824266055692,0.03711678290792474
2.2,,,225.90429400000014,248.57033863437513,5.106709592054414e-8,2.8089465359413633e-8,-11595.544995502847,-25758.61809827189,0.01766911899320964,0.038883730341674125
2.3000000000000003,,,236.16286986363653,271.6737034859376,5.835090823729051e-8,3.355497271652327e-8,-11585.286419639211,-26917.659662370614,0.017668381240398927,0.040650605623901194
