x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,-0.0024020282206919513,0
0,true,1,0,0,0,0,1114.700696292584,0,-0.0024020282206919513,0
0.1,,,-0.12267413636363653,-0.006127048437500009,-5.717660921784321e-14,-1.4290525797289373e-15,1114.5780221562204,111.46394258082091,-0.002402026659570287,-0.00024020277003132951
0.2,,,-0.24620054545454562,-0.0245641241477273,-4.581837655529003e-13,-2.2893853333034416e-14,1114.4544957471296,222.9155751343691,-0.002402021976434772,-0.0004804052278469266
0.3,,,-0.3705792272727276,-0.05539645440340914,-1.5490279204252412e-12,-1.1605788556044375e-13,1114.3301170653115,334.3548124333718,-0.0024020141716314114,-0.0007206070612626865
0.4,,,-0.4958101818181822,-0.09870926647727282,-3.678102803118643e-12,-3.6730464159767667e-13,1114.204886110766,445.7815692505564,-0.0024020032455086006,-0.0009608079581292247
0.5,,,-0.6218934090909095,-0.15458778764204556,-7.196189420780584e-12,-8.979763506020154e-13,1114.0788028834932,557.19576035865,-0.0024019891984171193,-0.0012010076063321152
0.6,,,-0.7488289090909095,-0.22311724517045464,-1.2456456058422249e-11,-1.8646127063386758e-12,1113.9518673834932,668.59730053038,-0.0024019720307101363,-0.0014412056937921293
0.7000000000000001,,,-0.8766166818181824,-0.3043828663352275,-1.9814458278918542e-11,-3.4591895949671796e-12,1113.824079610766,779.9861045384737,-0.0024019517427432075,-0.001681401908465475
0.8,,,-1.005256727272728,-0.39846987840909115,-2.962813892300804e-11,-5.909357822827716e-12,1113.6954395653113,891.3620871556583,-0.0024019283348742752,-0.001921595938344035
0.8999999999999999,,,-1.1347490454545461,-0.5054635086647729,-4.225782810929304e-11,-9.478681844227524e-12,1113.5659472471295,1002.7251631546608,-0.0024019018074636703,-0.0021617874714556047
1,,,-1.2650936363636374,-0.6254489843750004,-5.80662432342396e-11,-1.4466878489227269e-11,1113.4356026562205,1114.075247308209,-0.002401872160874109,-0.002401976195864135
1.1,,,-1.396290500000001,-0.7585115328125005,-7.74184889721774e-11,-2.1210055691427385e-11,1113.304405792584,1225.41225438903,-0.002401839395470697,-0.002642161799669963
1.2,,,-1.528339636363637,-0.9047363812500004,-1.006820572752998e-10,-3.008095121575445e-11,1113.1723566562205,1336.736099169851,-0.002401803511620925,-0.0028823439710100596
1.2999999999999998,,,-1.6612410454545463,-1.0642087569602277,-1.28226827373664e-10,-4.14891713862476e-11,1113.0394552471296,1448.046696423399,-0.0024017645096946734,-0.003122522398058262
1.4000000000000001,,,-1.7949947272727285,-1.23701388721591,-1.604250657751909e-10,-5.588142981384493e-11,1112.9057015653113,1559.343960922402,-0.002401722390064209,-0.003362696769025518
1.5,,,-1.9296006818181826,-1.4232369992897733,-1.9765142626566484e-10,-7.37417861241696e-11,1112.771095610766,1670.6278074395861,-0.0024016771531041848,-0.003602866772160117
1.6,,,-2.0650589090909097,-1.6229633204545462,-2.4028294990873425e-10,-9.559188468531663e-11,1112.635637383493,1781.8981507476801,-0.0024016287991916415,-0.0038430320957479353
1.7,,,-2.2013694090909097,-1.8362780779829548,-2.8869906504591087e-10,-1.219911933356389e-10,1112.4993268834933,1893.1549056194099,-0.0024015773287060084,-0.004083192428112672
1.7999999999999998,,,-2.3385321818181826,-2.063266499147727,-3.4328158729657046e-10,-1.5353724211153372e-10,1112.362164110766,2004.3979868275035,-0.0024015227420291006,-0.004323347457616091
1.9000000000000001,,,-2.4765472272727287,-2.3040138112215915,-4.0441471955795265e-10,-1.9086586197522936e-10,1112.2241490653114,2115.6273091446883,-0.0024014650395451213,-0.004563496872658255
2,,,-2.6154145454545468,-2.5586052414772733,-4.7248505200516e-10,-2.346514235425707e-10,1112.0852817471296,2226.842787343691,-0.0024014042216406605,-0.004803640361677764
2.0999999999999996,,,-2.755134136363637,-2.8271260171875,-5.478815620911593e-10,-2.8560707581080637e-10,1111.9455621562204,2338.044336197239,-0.002401340288704695,-0.005043777613152
2.2,,,-2.8957060000000014,-3.109661365625002,-6.30995614546782e-10,-3.444849848863757e-10,1111.804990292584,2449.23187047806,-0.002401273241128591,-0.005283908315597363
2.3000000000000003,,,-3.037130136363638,-3.406296514062502,-7.22220961380721e-10,-4.1207657271269256e-10,1111.6635661562204,2560.4053049588815,-0.002401203079306099,-0.005524032157569503
2.4,,,-3.179406545454547,-3.7171166897727286,-8.219537418795344e-10,-4.892127557979344e-10,1111.5212897471295,2671.564554412429,-0.0024011298036333596,-0.0057641488276635715
2.5,,,-3.322535227272729,-4.042207120028411,-9.305924826076445e-10,-5.767641839428281e-10,1111.3781610653114,2782.709533611432,-0.002401053414508898,-0.006004258014514449
2.5999999999999996,,,-3.466516181818183,-4.381653032102274,-1.0485380974073355e-9,-6.756414789684347e-10,1111.234180110766,2893.840157328616,-0.002400973912333629,-0.006244359406796988
2.7,,,-3.611349409090911,-4.7355396532670495,-1.1761938873987585e-9,-7.867954734439389e-10,1111.0893468834931,3004.95634033671,-0.0024008912975108537,-0.006484452693226256
