x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,0.006612528229951251,0
0,true,1,0,0,0,0,-4209.299305482915,0,0.006612528229951251,0
0.1,,,3.4775815454545453,0.173881740625,1.6235304188989948e-12,4.058840553276173e-14,-4205.82172393746,-420.7560488076665,0.00661252233629811,0.0006612526265264911
0.2,,,6.954822181818182,0.6955045903409092,1.2987934994467894e-11,6.494028837012391e-13,-4202.344483301096,-841.1643565062421,0.0066125046618325,0.001322504074565874
0.3,,,10.431721909090907,1.5648344582386362,4.383321752165546e-11,3.2875389975127384e-12,-4198.867583573824,-1261.2249571866357,0.006612475216294425,0.00198375316652391
0.4,,,13.908280727272723,2.781837253409091,1.0389842688426497e-10,1.0390044943912173e-11,-4195.391024755642,-1680.937884939757,0.006612434009422934,0.002644998725780313
0.5,,,17.38449863636363,4.346478884943181,2.0292165705495419e-10,2.5365826062667494e-11,-4191.914806846551,-2100.303173856514,0.006612381050956121,0.0033062395766886537
0.6,,,20.86037563636363,6.258725261931817,3.506400470952354e-10,5.2597549345255176e-11,-4188.438929846551,-2519.320858027817,0.006612316350631125,0.0039674745445762655
0.7000000000000001,,,24.335911727272727,8.51854229346591,5.567897811554757e-10,9.744154794374569e-11,-4184.963393755642,-2937.9909715445747,0.006612239918184128,0.004628702455744147
0.8,,,27.81110690909091,11.125895888636364,8.311060884748962e-10,1.6622772567968878e-10,-4181.488198573824,-3356.3135484976956,0.006612151763350364,0.005289922137466867
0.8999999999999999,,,31.28596118181818,14.080751956534089,1.1833232433815722e-9,2.6625946155299907e-10,-4178.013344301096,-3774.288622978089,0.006612051895864103,0.00595113241799247
1,,,34.76047454545455,17.38307640625,1.6231745652924357e-9,4.0581351425084197e-10,-4174.53883093746,-4191.916229076664,0.006611940325458666,0.006612332126542382
1.1,,,38.23464700000001,21.03283514687501,2.1603924187132708e-9,5.94139926656518e-10,-4171.064658482915,-4609.1964008843315,0.006611817061866419,0.00727352009331131
